MCL,MCLG,MCR,MCRG,MCG,MCGG,CASOS
6.813977483,10.33785919,7.595355204,7.304254813,0.972572282,1.000003701,1
0.664292613,0.769368196,0.707166259,0.699102218,0.240345441,0.245202207,0
0.728761493,0.831708856,0.772856715,0.765158692,0.291269475,0.296735128,1
0.799427198,0.899506723,0.84461693,0.837518665,0.351033353,0.357136944,2
0.876873166,0.97372092,0.923000766,0.916630645,0.420782078,0.427545462,2
0.961735274,1.054106329,1.008611124,1.002734897,0.501742741,0.50917897,2
1.054706039,1.141130994,1.102103949,1.096691326,0.595220704,0.603332428,3
1.156539039,1.235726278,1.204192512,1.199373327,0.702594281,0.711372186,2
1.268053563,1.338823544,1.315651928,1.311654299,0.825307872,0.834729212,3
1.390139443,1.451354155,1.437323939,1.434407637,0.964863563,0.974890827,3
1.523762062,1.574249476,1.570121926,1.568506738,1.122811229,1.133391003,3
1.669967478,1.708440868,1.715036145,1.714824999,1.300737202,1.311799261,3
1.82988762,1.854859696,1.873139146,1.87423919,1.500251618,1.511708304,3
2.004745485,2.014437322,2.045591338,2.048587455,1.722974564,1.734720483,3
2.195860234,2.188118278,2.233646639,2.23850252,1.970521182,1.982433272,4
2.404652084,2.378464068,2.438658127,2.444838011,2.244485938,2.256423911,4
2.632646838,2.58584577,2.662083607,2.669457762,2.546426233,2.558233445,3
2.881479894,2.811115705,2.905490942,2.914225606,2.877845603,2.889350339,3
3.1528995,3.056608555,3.170562994,3.181005379,3.240176736,3.251193932,4
3.448769017,3.324659005,3.459101983,3.471660915,3.63476455,3.645097933,3
3.771067864,3.617601736,3.773032982,3.788056047,4.062849576,4.072294227,4
4.121890802,3.937771434,4.11440628,4.13205461,4.525551902,4.533897193,4
4.503445123,4.28750278,4.485398202,4.505520439,5.023855894,5.030888785,4
4.91804527,4.669130458,4.888309971,4.910317367,5.558595938,5.564104587,4
5.368104315,5.084989151,5.325564072,5.348965402,6.130443391,6.134221028,5
5.856121692,5.537413543,5.799697492,5.82486448,6.739894948,6.741743953,5
6.384666464,6.029524061,6.313351127,6.340465662,7.387262567,7.386998698,6
6.956355375,6.565756259,6.869254503,6.898391805,8.072665102,8.07012181,6
7.573824865,7.149419653,7.470204891,7.501266445,8.796021755,8.791054507,6
8.239696178,7.783817487,8.119039737,8.151713117,9.55704741,9.54953797,6
8.956532691,8.472253022,8.818601249,8.852355357,10.35524993,10.34511051,7
9.726788593,9.218029522,9.571691886,9.605816699,11.18992938,11.17710661,7
10.55274813,10.02445025,10.38101943,10.41472068,12.06017926,12.04465792,8
11.4364547,10.89481846,11.2491303,11.28169083,12.96488962,12.94669603,10
12.37962944,11.83243743,12.17832985,12.2093507,13.90275201,13.8819571,11
13.38357891,12.84061042,13.17058843,13.19502617,14.87226627,14.84898822,12
14.44909237,13.92264068,14.22743249,14.24372504,15.8717489,15.84615532,12
15.57632914,15.07153824,15.34982,15.36634937,16.89934303,16.87165268,11
16.7646977,16.29539386,16.53800064,16.55855354,17.95302974,17.92351373,15
18.01272851,17.61044087,17.79136145,17.81580316,19.03064064,18.99962307,18
19.31794386,19.00727206,19.10826023,19.13356389,20.12987152,20.09772964,19
20.67672884,20.47628561,20.48584997,20.50730133,21.24829689,21.21546067,21
22.08420866,22.0078797,21.91989949,21.93248113,22.38338523,22.35033646,23
23.53413885,23.59245251,23.40461713,23.4045689,23.53251482,23.4997856,26
25.01881553,25.2204022,24.93248662,24.9190303,24.69298994,24.66116077,29
26.52901411,26.88212697,26.49412611,26.47133093,25.86205725,25.83175454,31
28.05396509,28.56802497,28.07818348,28.04990632,27.03692219,27.00881544,32
29.5813757,30.2684944,29.67128241,29.63404972,28.21476533,28.18956379,33
31.09750563,31.96985144,31.25803487,31.21844669,29.39275835,29.37120744,38
32.58730362,33.63495959,32.82113495,32.78234187,30.56807972,30.55095701,36
34.0346097,35.23371569,34.34154797,34.3043131,31.73792979,31.72604078,39
35.42242486,36.7423264,35.79880502,35.7629382,32.89954524,32.89371886,41
36.73324612,38.13697524,37.17140822,37.13679501,34.05021282,34.05129682,40
37.94946069,39.39384576,38.4373448,38.40446134,35.18728223,35.1961384,38
39.05378826,40.48912146,39.57469959,39.54451503,36.3081782,36.32567746,37
40.02975586,41.3989859,40.56234598,40.5355339,37.41041147,37.43742901,35
40.86218556,42.09962258,41.38068582,41.35609577,38.49158892,38.52899932,35
41.53767238,42.56721505,42.01239992,41.99624707,39.54942263,39.59809501,34
42.04502796,42.77794684,42.44316509,42.45113268,40.58173783,40.64253112,34
42.37566573,42.7255659,42.66229027,42.67093668,41.58647992,41.66023828,35
42.52390545,42.43809893,42.66322641,42.66171236,42.56172037,42.64926873,39
42.48717877,41.88998821,42.44391075,42.43331487,43.50566161,43.60780144,42
42.26612324,41.10189431,42.00691694,41.99559934,44.41664089,44.5341462,41
41.86455895,40.0977584,41.35939649,41.35842093,45.29313319,45.42674679,44
41.28934913,38.9015216,40.51281331,40.53163479,46.13375319,46.28418317,47
40.5501535,37.53712507,39.48248888,39.52509605,46.93725628,47.10517287,46
39.65908932,36.02850993,38.2869902,38.34865987,47.70253882,47.88857144,44
38.63032019,34.39961734,36.94740301,37.01218139,48.42863749,48.6333722,44
37.47959586,32.67438843,35.48653947,35.53222363,49.11472794,49.33870519,39
36.22376758,30.87676435,33.92813021,33.9682355,49.76012282,50.00383545,
34.88030291,29.03862754,32.2960475,32.34003934,50.364269,50.62816068,
33.46682164,27.21841577,30.61359915,30.66272913,50.92674441,51.21120829,
32.00067095,25.4151395,28.90292256,28.95375212,51.44725426,51.752632,
30.49855368,23.63783513,27.18449809,27.23055558,51.9256268,52.25220788,
28.97621861,21.89855633,25.47678955,25.51058677,52.36180874,52.70983005,
27.44821762,20.20935682,23.79601054,23.81129293,52.75586029,53.12550603,
25.9277298,18.58229029,22.1560075,22.15012133,53.1079499,53.49935174,
24.42644972,17.02941043,20.56824482,20.54451922,53.41834883,53.83158633,
22.95453407,15.56277094,19.04187439,19.01193387,53.68742546,54.12252672,
21.52059924,14.19442552,17.58387051,17.56970319,53.91563949,54.37258204,
20.13176126,12.93642786,16.19921147,16.21409865,54.10353609,54.58224797,
18.7937094,11.8000764,14.89109089,14.92124981,54.25173996,54.752101,
17.51080482,10.76161536,13.66114389,13.69147221,54.36094933,54.88279261,
16.2861963,9.781446538,12.50967618,12.52738621,54.4319301,54.97504356,
15.12194615,8.858939697,11.43588649,11.4316122,54.46550994,55.0296381,
14.01916023,7.996137732,10.43807572,10.40677054,54.4625725,55.04741836,
12.97811738,7.195083535,9.513838242,9.45548161,54.42405175,55.02927872,
11.99839442,6.457819998,8.660232746,8.580365784,54.35092641,54.97616042,
11.078984,5.786390013,7.873931595,7.784043437,54.24421462,54.88904616,
10.21840344,5.182836473,7.151348791,7.069134942,54.10496865,54.76895503,
9.414793369,4.649202268,6.488747492,6.437194894,53.93426992,54.61693746,
8.666005725,4.187530293,5.882328593,5.863095581,53.73322415,54.43407043,
7.969680967,3.797145997,5.328302182,5.323278329,53.50295677,54.22145285,
7.323314878,3.43848166,4.822943857,4.818100708,53.24460844,53.9802012,
6.724315493,3.097839926,4.362637917,4.348181094,52.95933095,53.71144528,
6.170050892,2.77921612,3.943909339,3.914137862,52.64828322,53.41632428,
5.657888671,2.483525741,3.563446355,3.516589388,52.31262756,53.09598299,
5.185228004,2.211684291,3.218115264,3.156154047,51.95352623,52.75156828,
4.749525121,1.96460727,2.904968928,2.833450215,51.57213809,52.38422578,
4.348313099,1.743210178,2.621250223,2.549096268,51.16961565,51.9950968,
3.979216734,1.548408516,2.364391538,2.303710581,50.74710216,51.58531542,
3.639963245,1.381117784,2.132011242,2.09697243,50.30572909,51.15600586,
3.328389474,1.242253482,1.92190788,1.903932335,49.84661369,50.70828002,
3.042446192,1.131299992,1.732052758,1.719198302,49.37085686,50.2432352,
2.780200018,1.021117134,1.560581406,1.548020663,48.87954112,49.76195209,
2.539833436,0.914088222,1.405784349,1.39042127,48.37372891,49.26549291,
2.319643282,0.816645926,1.266097517,1.246421972,47.85446091,48.75489971,
2.118038054,0.728523171,1.140092541,1.116044621,47.32275473,48.2311929,
1.933534335,0.649452887,1.026467139,0.999311069,46.77960359,47.69536994,
1.764752548,0.579168,0.924035729,0.896243165,46.22597527,47.14840416,
1.610412266,0.517401438,0.831720393,0.806862762,45.66281123,46.59124376,
1.469327225,0.463886129,0.748542235,0.731191709,45.09102578,46.02481097,
